SampleID	Real_Sample_Name	Year	Location	Cultivar	Fungicide_treatment
GF.ITS.VL31	GF.ITS.VL31	NA	2022	Lisbon	Syrah	Bentonite
GF.ITS.VL32	GF.ITS.VL32	NA	2022	Lisbon	Syrah	Bentonite
GF.ITS.VL33	GF.ITS.VL33	NA	2022	Lisbon	Syrah	Bentonite
GF.ITS.VL34	GF.ITS.VL34	NA	2022	Lisbon	Syrah	Bentonite
GF.ITS.VL35	GF.ITS.VL35	NA	2022	Lisbon	Syrah	Bentonite
GF.ITS.VL36	GF.ITS.VL36	NA	2022	Lisbon	Syrah	Bentonite
GF.ITS.VL37	GF.ITS.VL37	NA	2022	Lisbon	Syrah	Esquive
GF.ITS.VL38	GF.ITS.VL38	NA	2022	Lisbon	Syrah	Esquive
GF.ITS.VL39	GF.ITS.VL39	NA	2022	Lisbon	Syrah	Esquive
GF.ITS.VL40	GF.ITS.VL40	NA	2022	Lisbon	Syrah	Esquive
GF.ITS.VL41	GF.ITS.VL41	NA	2022	Lisbon	Syrah	Esquive
GF.ITS.VL42	GF.ITS.VL42	NA	2022	Lisbon	Syrah	Esquive
GF.ITS.VL43	GF.ITS.VL43	NA	2022	Lisbon	Syrah	Tessior
GF.ITS.VL44	GF.ITS.VL44	NA	2022	Lisbon	Syrah	Tessior
GF.ITS.VL45	GF.ITS.VL45	NA	2022	Lisbon	Syrah	Tessior
GF.ITS.VL46	GF.ITS.VL46	NA	2022	Lisbon	Syrah	Tessior
GF.ITS.VL47	GF.ITS.VL47	NA	2022	Lisbon	Syrah	Tessior
GF.ITS.VL48	GF.ITS.VL48	NA	2022	Lisbon	Syrah	Tessior
GF.ITS.VL49	GF.ITS.VL49	NA	2022	Lisbon	Syrah	Control water
GF.ITS.VL50	GF.ITS.VL50	NA	2022	Lisbon	Syrah	Control water
GF.ITS.VL51	GF.ITS.VL51	NA	2022	Lisbon	Syrah	Control water
GF.ITS.VL52	GF.ITS.VL52	NA	2022	Lisbon	Syrah	Control water
GF.ITS.VL53	GF.ITS.VL53	NA	2022	Lisbon	Syrah	Control water
GF.ITS.VL54	GF.ITS.VL54	NA	2022	Lisbon	Syrah	Control water
GF.ITS.VL56	GF.ITS.VL56	NA	2022	Lisbon	Syrah	Copper oxychloride
GF.ITS.VL57	GF.ITS.VL57	NA	2022	Lisbon	Syrah	Copper oxychloride
GF.ITS.VL58	GF.ITS.VL58	NA	2022	Lisbon	Syrah	Copper oxychloride
GF.ITS.VL59	GF.ITS.VL59	NA	2022	Lisbon	Syrah	Copper oxychloride
GF.ITS.VL60	GF.ITS.VL60	NA	2022	Lisbon	Syrah	Copper oxychloride
