GF.ITS.VL31	GF.ITS.VL32	GF.ITS.VL33	GF.ITS.VL34	GF.ITS.VL35	GF.ITS.VL36	GF.ITS.VL37	GF.ITS.VL38	GF.ITS.VL39	GF.ITS.VL40	GF.ITS.VL41	GF.ITS.VL42	GF.ITS.VL43	GF.ITS.VL44	GF.ITS.VL45	GF.ITS.VL46	GF.ITS.VL47	GF.ITS.VL48	GF.ITS.VL49	GF.ITS.VL50	GF.ITS.VL51	GF.ITS.VL52	GF.ITS.VL53	GF.ITS.VL54	GF.ITS.VL56	GF.ITS.VL57	GF.ITS.VL58	GF.ITS.VL59	GF.ITS.VL60
g__Kondoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0
g__Sarocladium	0	0	0	0	0	0	0	0	0	0	0	0.00254545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Symmetrospora_1	0.00118181818181818	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Capnodiales	0	0.000636363636363636	0.00427272727272727	0.000636363636363636	0.000454545454545455	0	0.00136363636363636	0.000818181818181818	0	0.000545454545454545	0.000454545454545455	0.000272727272727273	0.00427272727272727	0.00518181818181818	9.09090909090909e-05	0.000727272727272727	0	0	0.000363636363636364	0.000636363636363636	0	0	0	0	0.00172727272727273	0	0.000363636363636364	0	0
s__Candida_cretensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381818181818182	0.000272727272727273	0
c__Leotiomycetes	0	0	0.00145454545454545	0.00863636363636364	0.000818181818181818	0	0.00136363636363636	0.00127272727272727	0.00145454545454545	0	0	0	0.000636363636363636	0.000181818181818182	0	0	0	0.000727272727272727	0	0	0.000181818181818182	0	0	0	0	0	0	0	0
c__Cystobasidiomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Hypocreales	0	0	0	0	0	0	0	0	0	0.216090909090909	0.0152727272727273	0	0	0	0	0	0	0	0	0.00163636363636364	0	0	0	0	0	0	0	0	0
s__Alternaria_infectoria	0	0	0	0	0	0.0652727272727273	0	0	0	0	0.00590909090909091	0	0	0	0	0	0.00390909090909091	0.00327272727272727	0	0	0.0364545454545455	0.000272727272727273	0.00109090909090909	0	0	0	0.00254545454545455	0	0.00281818181818182
s__Filobasidium_wieringae	0	0	0	0	0	0	0	0	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Neosetophoma	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Hyphodontia	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Neoerysiphe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09090909090909e-05	0	0
g__Dioszegia	0	0	0	0	0	0	0	0.000363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Xylariales	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Buckleyzyma_1	0	0	0	0	0.000454545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Pleosporaceae	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Phaeosphaeriaceae	0	0	0	0	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Buckleyzyma_2	0	0	0	0	0	0	0	0	0	0.000272727272727273	0	0	0	0	0	0	0	0	0	0	0.000181818181818182	0	0	0	0	0	0	0	0
s__Candida_cretensis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00209090909090909	0.000272727272727273	0.000181818181818182	0.00181818181818182	0	0	9.09090909090909e-05	0.000272727272727273	0	0	0	0	0
g__Kondoa_1	0	0	0.0213636363636364	0	0	0.00109090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Talaromyces	0	0	0	0	0	0	0	0	0	0	0	0	0.000636363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Ramularia_1	0	0	0	0	0	0	0	9.09090909090909e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Rhynchogastremataceae	0.000818181818181818	0	0.000636363636363636	0.003	0.00163636363636364	0	0	0.00181818181818182	0.000272727272727273	0.000181818181818182	0	0.00290909090909091	0.000909090909090909	0	9.09090909090909e-05	0	0.002	0.000909090909090909	0.000454545454545455	0	0	0	0	9.09090909090909e-05	0.00136363636363636	0	0	0	0
g__Papiliotrema_2	0	0	0.00118181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
